flight,time,wind_speed,wind_angle,battery_voltage,battery_current,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,route
1,0.0,0.100000001,12.0,24.22217369,0.087469511,-0.012825926,-0.005644709,0.010474564,-0.0008251889999999,0.0014074279999999,0.0068152169999999,0.004257701,-0.120404978,-9.811136699,4.0,0.0,25,R5
1,0.2,0.100000001,3.0,24.22718048,0.095421284,-0.015409501,-0.001635618,0.010136867,1.24e-06,-0.002861936,0.002033538,0.006174664,-0.116396593,-9.810391763,4.0,0.0,25,R5
1,0.3,0.100000001,352.0,24.22592926,0.095421284,-0.016513727,-0.001821677,0.009980725,-7.31e-06,-0.001485685,-0.0008742989999999,0.002696266,-0.128591638,-9.809439837,4.0,0.0,25,R5
1,0.5,0.100000001,354.0,24.22467804,0.095421284,-0.007775039,-0.005263036,0.01509068,0.001255224,-0.000347319,0.002443233,0.002024007,-0.128270854,-9.810159044,4.0,0.0,25,R5
1,0.6,0.100000001,359.0,24.21090508,0.079517737,-0.009060158,-0.005173516,0.015142142,-0.002383463,0.000181737,-0.006424722,0.008270765,-0.119889629,-9.812124878,4.0,0.0,25,R5
1,0.81,0.100000001,350.0,24.22342491,0.095421284,-0.008598091,-0.00358808,0.013628142,-0.004059605,0.001028723,-0.002546404,0.005758231,-0.12422734,-9.811599798,4.0,0.0,25,R5
1,0.9,0.200000003,354.0,24.21841621,0.095421284,-0.008570227,-0.003143273,0.014001519,0.000481865,-0.003512588,0.003304436,0.006092723,-0.115744812,-9.811655931,4.0,0.0,25,R5
1,1.1,0.200000003,352.0,24.21340942,0.087469511,-0.006398486,-0.001244302,0.006902317,-0.003008329,-0.001127758,-0.001499851,0.008397809,-0.114766298,-9.812431272,4.0,0.0,25,R5
1,1.2,0.200000003,358.0,24.22968483,0.095421284,-0.004376835,-0.000661347,0.008408337,0.001629055,0.00266217,0.000726055,0.003208411,-0.128756091,-9.809760264,4.0,0.0,25,R5
1,1.4,0.200000003,5.0,24.21966934,0.103373058,-0.0055893019999999,-0.0002422,0.008638831,-0.000365404,0.002419015,0.005545465,0.004759678,-0.122761754,-9.80952696,4.0,0.0,25,R5
1,1.5,0.200000003,14.0,24.22718048,0.103373058,-0.012703852,-0.004583177,0.008956421,0.000533183,0.00158982,-0.006249706,0.007140838,-0.123051492,-9.811536648,4.0,0.0,25,R5
1,1.7,0.200000003,13.0,24.22467804,0.095421284,-0.012492244,-0.004657143,0.009308194,0.001658592,4.04e-05,-0.004678405,0.004121587,-0.126368234,-9.809977196,4.0,0.0,25,R5
1,1.8,0.300000012,26.0,24.22217369,0.095421284,-0.012777263,-0.004265114,0.009637658,-0.000583891,-0.003660625,0.001447038,0.00786971,-0.113424353,-9.812600842,4.0,0.0,25,R5
1,2.0,0.300000012,33.0,24.22592926,0.095421284,-0.006946175,-0.000896658,0.009958745,-0.002174523,-0.002386048,-0.003733424,0.008738421,-0.116456226,-9.813400741,4.0,0.0,25,R5
1,2.1,0.400000006,44.0,24.21966934,0.087469511,-0.00706305,-0.000626143,0.010046349,0.000629782,0.000707833,0.00641983,0.003626632,-0.125058969,-9.80986259,4.0,0.0,25,R5
1,2.3,0.400000006,42.0,24.20965195,0.095421284,-0.00953432,-0.002830108,0.010241527,-0.000676065,0.00264019,0.0060933019999999,0.004378457,-0.11990273,-9.809539239,4.0,0.0,25,R5
1,2.4,0.5,48.0,24.22467804,0.095421284,-0.011036481,-0.00297521,0.010225324,-0.001038093,0.003549908,-0.004954652,0.004435143,-0.12583325,-9.811433737,4.0,0.0,25,R5
1,2.61,0.5,52.0,24.22592926,0.079517737,-0.005049052,-0.005957269,0.010215778,-0.001671645,0.001974951,-0.005480701,0.002125899,-0.128288368,-9.810479472,4.0,0.0,25,R5
1,2.7,0.600000024,54.0,24.21841621,0.095421284,-0.00706082,-0.005316043,0.010310964,-0.002927051,0.000623886,-0.000868972,0.0064125369999999,-0.115042826,-9.812171656,4.0,0.0,25,R5
1,2.9,0.600000024,48.0,24.21966934,0.103373058,-0.008769461,-0.005236836,0.01070851,-0.005138368,-0.000763239,-0.005899959,0.007978763,-0.117183519,-9.813835773,4.0,0.0,25,R5
1,3.0,0.600000024,49.0,24.22217369,0.095421284,-0.009629906,-0.005061495,0.014379403,0.001427472,0.000857093,0.003252224,0.00261085,-0.127021514,-9.811073549,4.0,0.0,25,R5
1,3.21,0.600000024,47.0,24.22342491,0.095421284,-0.008977393,0.000671871,0.012735301,0.000907698,-0.002066558,0.00498091,0.004401297,-0.119798412,-9.810025728,4.0,0.0,25,R5
1,3.3,0.600000024,40.0,24.22718048,0.087469511,-0.010550169,0.000568443,0.012603597,-0.000722393,-1.4800000000000002e-05,-0.00252039,0.0058046919999999,-0.126464896,-9.810443219,4.0,0.0,25,R5
1,3.5,0.600000024,33.0,24.21591187,0.095421284,-0.005004368,-0.00367605,0.016001579,0.000568761,0.001694978,0.001330059,0.003110704,-0.128286641,-9.810018711,4.0,0.0,25,R5
1,3.6,0.600000024,23.0,24.22592926,0.071565963,-0.005484652,-0.003367861,0.016240867,-0.001485117,0.002606845,-0.000523576,0.008881153,-0.113747119,-9.812476881,4.0,0.0,25,R5
1,3.8,0.699999988,22.0,24.22217369,0.087469511,-0.005560405,-0.002086764,0.017725856,-0.00476434,-6.53e-05,-0.005036443,0.00850892,-0.119558384,-9.813559785,4.0,0.0,25,R5
1,3.9,0.699999988,15.0,24.22592926,0.095421284,-0.005509476,-0.001846443,0.017878998,0.003078042,-0.001319514,0.007838964,0.004300269,-0.12195968,-9.810347325,4.0,0.0,25,R5
1,4.11,0.699999988,14.0,24.21340942,0.103373058,-0.008567964,-0.003036393,0.019072508,0.000925093,0.002314783,0.004532727,0.006084477,-0.115321628,-9.811562376,4.0,0.0,25,R5
1,4.2,0.699999988,4.0,24.22843361,0.095421284,-0.011847187,-0.0005321319999999,0.01932164,0.001348824,0.002187968,0.002348164,0.003344673,-0.129079953,-9.810459591,4.0,0.0,25,R5
1,4.4,0.699999988,3.0,24.21591187,0.127228379,-0.012829178,-0.000164252,0.019536083,0.002725745,0.003560868,0.002356089,0.00260553,-0.127247573,-9.809344527,4.0,0.0,25,R5
1,4.5,0.699999988,357.0,24.22217369,0.095421284,-0.006183738,-0.004249996,0.019805671,-0.001556018,0.00201417,-0.00594882,0.004853736,-0.119296319,-9.810817441,4.0,0.0,25,R5
1,4.7,0.699999988,353.0,24.22718048,0.095421284,-0.00577345,-0.003111717,0.020034689,-0.001070014,0.002330239,-0.003611519,0.004880989,-0.127501717,-9.812109675,4.0,0.0,25,R5
1,4.8,0.699999988,349.0,24.22592926,0.095421284,-0.005969888,-0.002789093,0.020489681,6.55e-05,0.001544645,0.002478319,0.006739709,-0.114491543,-9.812476881,4.0,0.0,25,R5
1,5.0,0.699999988,346.0,24.21591187,0.087469511,-0.005338818,-0.001831001,0.020412335,-0.003087811,0.000114932,-0.00419973,0.007968229,-0.117359758,-9.812004426,4.0,0.0,25,R5
1,5.1,0.699999988,343.0,24.22342491,0.087469511,-0.005506964,-0.001628973,0.020539548,0.003188173,0.00233616,0.006682334,0.00318249,-0.126793235,-9.809522867,4.0,0.0,25,R5
1,5.3,0.699999988,341.0,24.2121563,0.095421284,-0.008057714,-0.00291852,0.020658507,-0.002005265,0.00077357,0.003011907,0.003811579,-0.122909085,-9.810142672,4.0,0.0,25,R5
1,5.4,0.699999988,339.0,24.22467804,0.095421284,-0.009582269,-0.00320187,0.020667229,-6.74e-06,-0.0005606,-0.00278499,0.00472332,-0.124143624,-9.811713234,4.0,0.0,25,R5
