power_bin,rows,actual_mean_power_w,predicted_mean_power_w,power_w_mae,power_w_rmse,power_w_r2,power_w_mape_percent,power_w_wape_percent
0-50W,9549,1.2502420000508319,21.322407330968552,20.851118877039685,77.7376385449531,-302.8889635913245,5319.693841602169,1667.7666304756945
50-300W,704,162.65795977436122,205.73734637140623,98.11731645130914,135.7034796706616,-1.8071324147949062,75.22146120185262,60.321251162511366
300-450W,4471,409.91688013150065,443.14785391044506,46.565203233591454,64.32048071758636,-2.296205035219915,11.736304044950824,11.359669603909312
450-600W,19985,520.0242178114695,518.6631315973481,29.428636135179726,40.197320790223664,0.03014540431014845,5.668529427555798,5.659089543758294
600W以上,5052,658.0570131760652,620.2663014191606,49.81527958677575,68.32211642150304,-0.5782458190462696,7.485290027108039,7.570055267148641
