power_bin,rows,actual_mean_power_w,predicted_mean_power_w,power_w_mae,power_w_rmse,power_w_r2,power_w_mape_percent,power_w_wape_percent
0-50W,7440,1.690976619514877,7.851963392030512,7.382978538581948,21.836177720771154,-20.85393923089859,704.7189551504766,436.610326445557
50-300W,694,167.28733364592554,204.46362192305475,103.97565329594212,137.89986138162132,-1.8349450770539963,73.01888711763691,62.1539306233509
300-450W,5429,410.14882751359073,441.90377337144963,42.26048399777005,58.054522307970174,-1.9226753964579397,10.704399273294097,10.303694942629015
450-600W,17928,517.8305353708091,514.6725796126157,29.664012224540663,40.84199573463344,-0.01364327515648367,5.723592084321311,5.728517381328004
600W以上,4615,656.3968049060727,621.9634337614301,48.75459964814157,65.93449218245301,-0.7450734093032689,7.359641456396481,7.4276107506522875
