epoch,train_loss,val_loss,learning_rate,candidate,model_type,window_seconds,window_steps,is_best_epoch,phase
43,0.025526341792257684,0.021642551271019005,7.5e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,0,stage1_tcn_window
44,0.0254031979536052,0.02187975337779936,7.5e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,0,stage1_tcn_window
45,0.025490177428092987,0.021890995227876485,7.5e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,0,stage1_tcn_window
46,0.025380079048463358,0.021653889825182817,3.75e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,0,stage1_tcn_window
47,0.0250689088356974,0.02183320337791838,3.75e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,0,stage1_tcn_window
48,0.025071242119779354,0.021605902281859383,3.75e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,1,stage1_tcn_window
49,0.025141874753743104,0.021651022177073813,3.75e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,0,stage1_tcn_window
50,0.02524392053289992,0.021819095739426225,3.75e-05,tcn_rls_window_0.4s,tcn_rls,0.4,3,0,stage1_tcn_window
1,0.1479611529747833,0.045989700122114945,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
2,0.05666068878053585,0.03838368938290296,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
3,0.046411449098699764,0.034103964480737735,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
4,0.04168230705772261,0.029900488891229624,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
5,0.038517927501970056,0.029107612084499735,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
6,0.03634212162628053,0.02726755089908021,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
7,0.0344747001822301,0.02559743040876371,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
8,0.032932091582939325,0.024429429151313034,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
9,0.03200289044030733,0.023497400742925428,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
10,0.031060480693459416,0.024253474205895794,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
11,0.03026280843676123,0.023636998671137072,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
12,0.029547062770882586,0.02298814586427864,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
13,0.0290294800285658,0.02267555176376352,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
14,0.02867255528467297,0.02288242040212237,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
15,0.02826881094858156,0.023478604815923027,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
16,0.027915383052600475,0.022369488908487584,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
17,0.027458262534475964,0.022900440836737316,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
18,0.02717196426812451,0.022363428165824,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
19,0.026739552551221433,0.022643473902393737,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
20,0.02655213258471237,0.022352773979042884,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
21,0.026071242119779355,0.021967874976791018,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
22,0.026084022852639874,0.021724874344197516,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
23,0.02559702675581166,0.022141222631255713,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
24,0.025548854289795114,0.02139549464586666,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
25,0.025282746010638298,0.021722453022642443,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
26,0.02501831689568558,0.02143915468131094,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
27,0.024768366147064617,0.021602119664314825,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
28,0.024648214329688733,0.020781295376532984,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
29,0.024376674546887314,0.020924566200344684,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
30,0.024339605188632783,0.021164128258778947,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
31,0.024169103070823483,0.020840775828620126,0.0003,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
32,0.023996650906225374,0.021046231099558197,0.00015,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
33,0.023499986148049646,0.020597440451111174,0.00015,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
34,0.023526683473699763,0.02071650921753599,0.00015,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
35,0.02333225442031127,0.020581858075297076,0.00015,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
36,0.02340537117070528,0.02058722143272014,0.00015,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
37,0.023200559310973208,0.021591789064285306,0.00015,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
38,0.023269980668833727,0.020708393513030356,0.00015,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
39,0.02314122371207644,0.02076726026610584,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
40,0.02295952767927502,0.02057536960301931,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
41,0.022844525709219857,0.02080293663531669,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
42,0.022857017090228526,0.02048336682270243,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
43,0.022750386315504335,0.020623457569817375,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
44,0.02260932574862096,0.020743201405155013,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
45,0.022700733229905436,0.02037564776860527,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
46,0.022649876563731283,0.02044645003761045,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
47,0.0225940855250197,0.02051123061752552,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
48,0.022626300544227738,0.020528486717916856,7.5e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
49,0.02262647754137116,0.02038752563402175,3.75e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,0,stage1_tcn_window
50,0.022477353600275807,0.02030143854023842,3.75e-05,tcn_rls_window_0.6s,tcn_rls,0.6,5,1,stage1_tcn_window
1,0.15534004383372735,0.04515529262954182,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
2,0.05627302501970055,0.034465317897575794,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
3,0.045428366947399525,0.030710547410591864,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
4,0.039769817523640665,0.027710223154350434,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
5,0.03699790989460205,0.02749255899246839,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
6,0.03487784426713948,0.02660286837710904,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
7,0.033236662110914104,0.024376915112855158,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
8,0.03219249901497242,0.023705747837994173,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
9,0.031226300852048857,0.023944076919323203,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
10,0.030384403935185184,0.02366031365449802,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
11,0.029786338283096927,0.02319689279355195,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
12,0.028984122586682426,0.02313660709397376,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
13,0.028393709367612294,0.022153706756907945,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
14,0.028066612490149724,0.02259733489488117,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
15,0.02756818545606777,0.021999322401903373,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
16,0.026915306097320724,0.021860492527303283,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
17,0.026851239287825058,0.02141503631015292,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
18,0.026518921764184397,0.022247634320488652,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
19,0.026082117439913316,0.021696599557006018,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
20,0.025932710303388496,0.021614979448149947,0.0003,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
21,0.02543810025118203,0.02144762372767177,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
22,0.025069213578605202,0.020772592008731338,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
23,0.024902617710795903,0.020871613274108775,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
24,0.02462494459219858,0.02089580045394386,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
25,0.02452330667602443,0.0207394299457743,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
26,0.024468460648148147,0.02061036346454144,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
27,0.024354325194542947,0.020646292752132846,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
28,0.024311518050630417,0.02066297048769805,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
29,0.024129078629826634,0.020506373096863574,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
30,0.02400108045212766,0.020138586998566993,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
31,0.023875392471926715,0.020719308056967933,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
32,0.023700348453506697,0.0207363707491859,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
33,0.02374793605939716,0.020696052583814177,0.00015,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
34,0.023657807574862095,0.021294334732418305,7.5e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
35,0.023394214194247438,0.02046236715834,7.5e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
36,0.023305711005220647,0.02034535149406326,7.5e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
37,0.023252442560579196,0.020372904719992573,7.5e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
38,0.02319850460500394,0.020467966696897853,3.75e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
39,0.02322081394060284,0.020219253084414038,3.75e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
40,0.023158412443360914,0.020204416445883798,3.75e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
41,0.022994939420803783,0.02030443450723168,3.75e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
42,0.023043612096138692,0.02029619792261769,1.875e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
43,0.022931397446315997,0.020196708014358623,1.875e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
44,0.022975926849389282,0.020324435515929693,1.875e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
45,0.022884162295606778,0.0202641572551274,1.875e-05,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
46,0.023049203666765168,0.020310943436143168,9.375e-06,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
47,0.02287174940898345,0.020214083135164342,9.375e-06,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
48,0.02281935055900315,0.020107055887225778,9.375e-06,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
49,0.02284934157062648,0.020102129557886768,9.375e-06,tcn_rls_window_0.8s,tcn_rls,0.8,7,1,stage1_tcn_window
50,0.022832597640858945,0.020118215910768015,9.375e-06,tcn_rls_window_0.8s,tcn_rls,0.8,7,0,stage1_tcn_window
1,0.14195239854215919,0.04659186531173827,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
2,0.057245197990543735,0.03972403406007198,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
3,0.045381611997635934,0.030079263132712523,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
4,0.040308873867218285,0.027880511612226728,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
5,0.037507258421985816,0.025936484235151012,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
6,0.035540580058116625,0.025423634568051114,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
7,0.03383630996355398,0.024427111972620544,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
8,0.03271987354708432,0.023769330774989526,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
9,0.031421071586879436,0.023679178390177483,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
10,0.03066436416469661,0.024098967111088894,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
