flight,route,rows,duration_s,actual_energy_wh,predicted_energy_wh,tcn_predicted_energy_wh,actual_mean_power_w,predicted_mean_power_w,tcn_predicted_mean_power_w,programmed_speed_mps,payload_kg,altitude_m,predicted_energy_lower_wh,predicted_energy_upper_wh,energy_error_wh,energy_abs_error_wh,energy_abs_percent_error
18,R1,1135,170.31999999999996,23.296276836344568,23.189011618673163,23.22036013760031,492.3386255387383,490.17557543481945,490.93504209101314,4.0,0.25,25.0,19.09228704965374,27.49430865253411,-0.1072652176714044,0.1072652176714044,0.4604393157968475
23,R1,848,127.11999999999998,16.924326396231567,16.894003765048417,17.21645130369394,479.40776507514994,478.1701111658455,487.17172545978775,12.0,0.25,50.0,13.905266827901164,20.107304369466004,-0.03032263118315015,0.03032263118315015,0.17916595599280039
83,R1,1191,178.42,18.3432058126225,18.276929512122287,19.188429288524986,369.5438284666882,368.5651294546826,387.0908885311503,12.0,0.0,75.0,14.694592004500446,22.786975876503856,-0.06627630050021338,0.06627630050021338,0.3613125272497717
87,R1,1671,250.21999999999994,29.016247113789266,29.401187548840877,30.991336393822472,417.4679484967236,422.75448104939017,445.64906466247754,4.0,0.25,100.0,23.971874335606824,35.72617242326951,0.384940435051611,0.384940435051611,1.326637568056406
88,R1,1369,205.41999999999996,22.953644278146704,23.127087790973512,24.41323919423414,402.4647730466459,405.3178818214536,427.79851376018996,8.0,0.25,100.0,18.897140168401872,28.319631923757182,0.17344351282680748,0.17344351282680748,0.7556251666404732
102,R1,1688,252.61999999999995,34.013269491903145,34.0115095763335,33.70983389765413,485.34290535977914,484.8461830054674,480.4157128719787,4.0,0.5,100.0,28.63377971852613,40.39716091906455,-0.0017599155696430557,0.0017599155696430557,0.005174202880031875
105,R1,1477,221.21999999999994,28.95490711028549,28.866125873466203,28.645726998307897,471.4156377760186,469.47482326650606,465.9768694014875,6.0,0.5,100.0,24.25141972289609,34.45805758924073,-0.08878123681928685,0.08878123681928685,0.3066189661086828
113,R1,1331,201.31999999999996,21.849827044475894,21.87512973116096,22.604708989122113,394.0192378145159,394.5143993484019,407.61656632398194,12.0,0.25,100.0,18.12774831460312,26.964035313928008,0.025302686685066078,0.025302686685066078,0.11580268637166691
117,R1,1073,161.11999999999998,15.93253477420672,15.924032598207098,16.14165594253535,355.9920353921595,356.02812718089467,360.85064706231594,10.0,0.0,50.0,12.832117839283372,19.996774836908806,-0.008502175999621997,0.008502175999621997,0.05336361175489931
118,R1,1704,256.31999999999994,30.541589320044398,30.460112543736734,30.443811170450758,428.4771290181947,427.7629213980734,427.5017821598709,4.0,0.25,100.0,25.00553473133504,36.93929135843399,-0.08147677630766381,0.08147677630766381,0.2667732037579024
119,R1,1333,199.61999999999998,17.027623310973368,16.987169555272963,16.803661625671342,307.1870056854497,306.35701486663316,303.00402836694974,8.0,0.0,50.0,13.741079486465413,22.0331030563258,-0.04045375570040477,0.04045375570040477,0.23757722943245135
121,R1,1220,183.21999999999997,18.268199678059606,18.5023315236446,18.679687887869882,358.556018295366,363.59744003052293,366.95914616590903,6.0,0.0,50.0,14.905376900100661,23.133710824630988,0.23413184558499367,0.23413184558499367,1.2816361202039503
123,R1,1428,215.21999999999994,26.35373705508856,26.150632723491288,25.90022654075615,440.8189031044296,437.08472421033963,432.90501242375353,6.0,0.25,100.0,21.653386013412415,31.590898268509793,-0.20310433159727026,0.20310433159727026,0.7706851258806708
