candidate,model_type,hidden_dims,dropout,learning_rate,weight_decay,huber_delta,best_val_loss,val_sample_power_wape,val_flight_energy_wape,selection_score,epochs_run
plain_192_96_48,plain,"[192, 96, 48]",0.08,0.0003,0.0001,0.65,0.0343860680521552,10.39968030538235,2.438130868181377,4.518066929257847,14
plain_256_128_64,plain,"[256, 128, 64]",0.08,0.0003,0.0001,0.65,0.03251898182672301,10.17074490096876,2.6236085575888994,4.6577575377826514,14
residual_128_64_32,residual,"[128, 64, 32]",0.05,0.0003,0.0001,0.65,0.027925293026499494,9.047363650260678,2.2100416608077333,4.019514390859869,14
residual_192_96_48,residual,"[192, 96, 48]",0.06,0.00023999999999999998,0.0001,0.65,0.028158286480413578,9.017113354507075,2.1893068880075925,3.9927295589090077,14
residual_256_128_64,residual,"[256, 128, 64]",0.08,0.00023999999999999998,5e-05,0.65,0.027426958564809787,8.909656848760035,2.0384947196509224,3.8204260894029294,14
