epoch,train_loss,val_loss,learning_rate,candidate,model_type
1,0.07666716544995716,0.03764451783634778,0.00023999999999999998,residual_256_128_64,residual
2,0.038781388362460444,0.03522831254034587,0.00023999999999999998,residual_256_128_64,residual
3,0.03434892214550494,0.03090749237571198,0.00023999999999999998,residual_256_128_64,residual
4,0.031947814924542677,0.0313374594445783,0.00023999999999999998,residual_256_128_64,residual
5,0.03070054976752773,0.029978306827430124,0.00023999999999999998,residual_256_128_64,residual
6,0.029574556627011233,0.028961428605659843,0.00023999999999999998,residual_256_128_64,residual
7,0.028703511315661685,0.029083375914204544,0.00023999999999999998,residual_256_128_64,residual
8,0.028045800420471383,0.02832289561967608,0.00023999999999999998,residual_256_128_64,residual
9,0.027609969360941136,0.028975228552584168,0.00023999999999999998,residual_256_128_64,residual
10,0.02711998082242515,0.028526124623345566,0.00023999999999999998,residual_256_128_64,residual
11,0.026577719088433073,0.028005512370239224,0.00023999999999999998,residual_256_128_64,residual
12,0.026327767119743373,0.027522543504541256,0.00023999999999999998,residual_256_128_64,residual
13,0.02630140478315061,0.028019634493749668,0.00023999999999999998,residual_256_128_64,residual
14,0.025999584641191835,0.02702496614825768,0.00023999999999999998,residual_256_128_64,residual
15,0.025336394820210013,0.026895884506456646,0.00023999999999999998,residual_256_128_64,residual
16,0.02523954974791617,0.027687398554503074,0.00023999999999999998,residual_256_128_64,residual
17,0.024937835608087888,0.028299340042445678,0.00023999999999999998,residual_256_128_64,residual
18,0.02469034433310435,0.02787852701618077,0.00023999999999999998,residual_256_128_64,residual
19,0.02477444643314233,0.027239343065373213,0.00011999999999999999,residual_256_128_64,residual
20,0.023842747471962772,0.02656549760042518,0.00011999999999999999,residual_256_128_64,residual
21,0.023732038254433263,0.026683903665527323,0.00011999999999999999,residual_256_128_64,residual
22,0.023826104207874777,0.026458340361782882,0.00011999999999999999,residual_256_128_64,residual
23,0.023498700239531257,0.02620358064925723,0.00011999999999999999,residual_256_128_64,residual
24,0.02357568068541734,0.026324003696542714,0.00011999999999999999,residual_256_128_64,residual
25,0.023373446165490672,0.026796523601943862,0.00011999999999999999,residual_256_128_64,residual
26,0.023241258326696462,0.026878213266246703,0.00011999999999999999,residual_256_128_64,residual
27,0.023204113019723024,0.02615887984904952,0.00011999999999999999,residual_256_128_64,residual
28,0.023085144764920296,0.026927171173954177,0.00011999999999999999,residual_256_128_64,residual
29,0.02308439349511772,0.02774014312151705,0.00011999999999999999,residual_256_128_64,residual
30,0.023034712065654116,0.026341726324260954,0.00011999999999999999,residual_256_128_64,residual
31,0.022878896782919187,0.02678996795221627,5.9999999999999995e-05,residual_256_128_64,residual
32,0.022629144601891815,0.025958648246543505,5.9999999999999995e-05,residual_256_128_64,residual
33,0.022647937939790096,0.026390108967321756,5.9999999999999995e-05,residual_256_128_64,residual
34,0.022547347071997247,0.026228386622702944,5.9999999999999995e-05,residual_256_128_64,residual
35,0.022458988268966668,0.02635118382610231,5.9999999999999995e-05,residual_256_128_64,residual
36,0.02234721888637025,0.026268708228539057,2.9999999999999997e-05,residual_256_128_64,residual
37,0.022282158509011156,0.026268930970193848,2.9999999999999997e-05,residual_256_128_64,residual
38,0.02220984154305239,0.026256075263167266,2.9999999999999997e-05,residual_256_128_64,residual
39,0.0222017443289595,0.026146338236583404,2.9999999999999997e-05,residual_256_128_64,residual
40,0.022128080094208913,0.026355910149845826,1.4999999999999999e-05,residual_256_128_64,residual
41,0.02208728971601155,0.026035728683974198,1.4999999999999999e-05,residual_256_128_64,residual
42,0.02198567191171189,0.025984400123184762,1.4999999999999999e-05,residual_256_128_64,residual
